threads,repetition,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,basic_correctness_test_success,operations_per_thread
1,0,0,1.0000003576278687,235965,139652,213879,87557,1692024,694406,2141868,1,[2141868]
1,1,0,1.0000004768371582,225376,134554,204399,82626,1616470,654968,2046245,1,[2046245]
1,2,0,1.0000003576278687,223363,133577,202590,81663,1601793,647371,2027746,1,[2027746]
2,0,0,1.0000005960464478,135363,89898,122011,41200,964740,324148,1222114,1,"[613957, 608157]"
2,1,0,1.0000022649765015,119094,81086,105179,33564,828205,265466,1052478,1,"[447340, 605138]"
2,2,0,1.0000020265579224,118512,80867,104893,33636,822394,262817,1045799,1,"[448520, 597279]"
4,0,0,1.0000051259994507,51620,41865,46679,8915,367510,70585,465809,1,"[118220, 124729, 102338, 120522]"
4,1,0,1.000011920928955,47482,38895,42326,7646,336456,60566,426264,1,"[113188, 116372, 87337, 109367]"
4,2,0,1.0000114440917969,47297,38862,42389,7586,335175,60373,424861,1,"[113459, 115949, 86949, 108504]"
8,0,0,1.0000171661376953,46740,38436,41961,7426,334127,59537,422828,1,"[52333, 53891, 51335, 52826, 53315, 53801, 52900, 52427]"
8,1,0,1.0000141859054565,49462,40179,44414,8032,350522,65096,444398,1,"[55832, 56780, 55116, 56398, 52503, 56262, 55953, 55554]"
8,2,0,1.0000213384628296,42056,35157,37879,6272,298893,49026,378828,1,"[48066, 47344, 46563, 48230, 46394, 48197, 48053, 45981]"
10,0,0,1.0000284910202026,40379,34044,36328,5786,287124,45283,363831,1,"[36579, 36686, 35117, 36527, 35809, 36234, 36540, 35967, 36913, 37459]"
10,1,0,1.0000208616256714,39066,32934,34784,5389,276237,43174,350087,1,"[35520, 34985, 34708, 34670, 34781, 34602, 35199, 34605, 35412, 35605]"
10,2,0,1.0000247955322266,39140,33032,34988,5456,277238,42691,351366,1,"[35411, 35309, 34685, 34488, 35009, 35145, 35397, 35201, 35259, 35462]"
20,0,0,1.0000413656234741,41054,34511,36785,5957,290103,46846,367942,1,"[18679, 18406, 18104, 18430, 18275, 18201, 18505, 18148, 18157, 18094, 18570, 18410, 18689, 18652, 18271, 18882, 18153, 18246, 18496, 18574]"
20,1,0,1.000055193901062,38410,32384,34397,5237,273508,41121,346315,1,"[17760, 17268, 17125, 17325, 17378, 17062, 17583, 17131, 17144, 17460, 17823, 17032, 17445, 17171, 17164, 17404, 17214, 17188, 17362, 17276]"
20,2,0,1.000042200088501,38069,32315,34067,5066,269418,41020,341554,1,"[17192, 17203, 16905, 17201, 17111, 17241, 17230, 16853, 17039, 17507, 17259, 17024, 16824, 16931, 16919, 17343, 16814, 16985, 16802, 17171]"
40,0,0,1.0000901222229004,38014,32267,34187,5271,269858,40724,342059,1,"[8442, 8639, 8650, 8449, 8643, 8760, 8670, 8408, 8374, 8341, 8608, 8595, 8637, 8775, 8412, 8664, 8653, 8503, 8550, 8578, 8677, 8642, 8413, 8564, 8685, 8307, 8490, 8424, 8482, 8633, 8590, 8300, 8604, 8380, 8492, 8590, 8560, 8697, 8566, 8612]"
40,1,0,1.0001015663146973,37626,31921,33855,5038,267863,40111,339344,1,"[8525, 8588, 8597, 8554, 8450, 8504, 8656, 8536, 8318, 8471, 8471, 8644, 8506, 8526, 8501, 8545, 8293, 8534, 8371, 8533, 8489, 8602, 8372, 8481, 8353, 8382, 8593, 8554, 8454, 8678, 8310, 8463, 8626, 8344, 8504, 8467, 8361, 8482, 8224, 8482]"
