threads,repetition,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,operations_per_thread
1,0,0,5.000000476837158,1029164,517725,934673,465116,7398195,3670480,9362032,[9362032]
1,1,0,5.000000476837158,1018360,512612,925316,460242,7323227,3631269,9266903,[9266903]
1,2,0,5.000000476837158,1168250,583977,1060652,531437,8396820,4195410,10625722,[10625722]
2,0,0,5.000000476837158,592039,310696,544830,259043,4309683,2049219,5446552,"[2896964, 2549588]"
2,1,0,5.0,547011,290526,510324,238832,4038321,1890641,5095656,"[3092480, 2003176]"
2,2,0,5.000004768371582,556353,294896,518146,243266,4108694,1928862,5183193,"[3402623, 1780570]"
4,0,0,5.000010013580322,330355,184191,298920,131766,2365639,1045376,2994914,"[743324, 686308, 785307, 779975]"
4,1,0,5.000003337860107,353235,195045,319408,142659,2522698,1126520,3195341,"[748199, 771826, 816629, 858687]"
4,2,0,5.000006675720215,338538,188206,305296,135745,2416936,1074929,3060770,"[748030, 737665, 770994, 804081]"
8,0,0,5.000019550323486,204518,123989,186031,72862,1469340,576797,1859889,"[239951, 237999, 220029, 221555, 239375, 229922, 239953, 231105]"
8,1,0,5.000020980834961,195209,120069,177860,68791,1405735,543053,1778804,"[225982, 224587, 212252, 210147, 232043, 220388, 235275, 218130]"
8,2,0,5.000011920928955,195378,119921,178001,68984,1404894,541525,1778273,"[225328, 222493, 217358, 210152, 227554, 226717, 233922, 214749]"
10,0,0,5.000023365020752,195483,119800,177422,68609,1401446,542433,1774351,"[181552, 182605, 180191, 173895, 179024, 174544, 175190, 176174, 175432, 175744]"
10,1,0,5.000022888183594,190357,117249,173085,66414,1365441,523218,1728883,"[178044, 181324, 176053, 177040, 173821, 166000, 165929, 177796, 166641, 166235]"
10,2,0,5.000019073486328,196366,120398,178087,69203,1406403,546801,1780856,"[179345, 179973, 178730, 180375, 178341, 173792, 177480, 179560, 175805, 177455]"
20,0,0,5.0000386238098145,195415,119688,177487,68471,1402872,544232,1775774,"[90856, 87640, 86944, 88001, 87570, 87015, 91587, 88088, 91119, 91380, 90768, 89803, 87075, 87085, 88531, 87308, 90827, 87600, 89109, 87468]"
20,1,0,5.000059127807617,191857,118208,174740,67149,1378597,530516,1745194,"[86342, 85027, 86388, 84614, 85854, 85480, 89883, 88072, 89307, 89941, 86830, 88928, 85162, 88583, 86422, 85750, 88869, 89070, 88957, 85715]"
20,2,0,5.000036239624023,192179,118360,174724,67429,1381306,531662,1748209,"[85808, 86186, 86429, 85285, 85861, 87637, 90212, 86634, 89029, 87490, 88235, 89594, 85932, 86236, 88638, 85691, 89791, 89421, 88454, 85646]"
