threads,repetition,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,operations_per_thread
1,0,0,5.000000476837158,3380618,1696512,3297373,1645978,1567325,780905,8245316,[8245316]
1,1,0,5.0,3386795,1699572,3303286,1648966,1570196,782370,8260277,[8260277]
1,2,0,5.0,3680248,1844613,3590070,1794090,1705832,850686,8976150,[8976150]
2,0,0,5.000000476837158,1453140,745608,1428999,694523,678594,330153,3560733,"[1888726, 1672007]"
2,1,0,5.000005722045898,1272399,657548,1257696,607870,597217,289488,3127312,"[1671099, 1456213]"
2,2,0,5.000007629394531,1311914,678406,1303517,628379,618563,298398,3233994,"[1554109, 1679885]"
4,0,0,5.000012397766113,700965,371788,683380,321098,324320,152139,1708665,"[450223, 333629, 461625, 463188]"
4,1,0,5.0000200271606445,691590,366421,673146,315540,320004,150439,1684740,"[426586, 361640, 447588, 448926]"
4,2,0,5.000008583068848,728906,385805,712314,335186,338183,158757,1779403,"[456943, 388048, 461753, 472659]"
8,0,0,5.000015735626221,729997,386073,711427,335194,337486,159488,1778910,"[221296, 228191, 220092, 222883, 222183, 216317, 226576, 221372]"
8,1,0,5.000019550323486,721159,381854,701974,331193,333735,156851,1756868,"[207811, 218689, 206939, 220276, 218694, 219513, 231306, 233640]"
8,2,0,5.000011444091797,719358,380990,702791,330389,333786,156503,1755935,"[209142, 217996, 207416, 219389, 217656, 219546, 230777, 234013]"
10,0,0,5.000021457672119,636709,339671,620695,288959,295092,137803,1552496,"[158545, 152818, 150632, 154774, 151925, 153983, 157767, 163527, 162491, 146034]"
10,1,0,5.000014305114746,610477,327246,596288,276756,283602,131826,1490367,"[138829, 145727, 144780, 149260, 144782, 147646, 148942, 155575, 157359, 157467]"
10,2,0,5.000049114227295,638866,341069,623669,290496,295637,137910,1558172,"[152735, 157084, 144742, 154215, 147199, 153918, 152210, 165105, 165809, 165155]"
20,0,0,5.0000457763671875,632835,338577,618416,288208,293811,136541,1545062,"[72494, 71227, 71569, 76888, 83128, 75932, 82126, 81852, 83713, 78718, 78856, 74620, 75903, 82023, 74206, 76015, 73959, 75423, 81455, 74955]"
20,1,0,5.000045299530029,623360,333065,608075,282526,289048,134446,1520483,"[70907, 70629, 71784, 75216, 81254, 74405, 78705, 78866, 80820, 74695, 77176, 74548, 77998, 80258, 72856, 74657, 75854, 74518, 80921, 74416]"
20,2,0,5.000045299530029,626233,334372,609957,283774,290838,135646,1527028,"[70927, 71233, 73237, 74787, 80941, 73186, 77744, 78107, 80889, 73548, 77915, 75119, 81224, 79920, 74208, 74448, 78948, 74867, 80458, 75322]"
40,0,0,5.000123023986816,620744,331569,605935,280851,288126,133964,1514805,"[36167, 35606, 35536, 37354, 39345, 37138, 38548, 39753, 40240, 37039, 39863, 37148, 39713, 38720, 36970, 37107, 39451, 37153, 37019, 37453, 36971, 36941, 38509, 37211, 39158, 37823, 37236, 37191, 37742, 35618, 38386, 38090, 37058, 37146, 37232, 38826, 39223, 39246, 38222, 39653]"
40,1,0,5.000118255615234,615804,330210,601867,279661,285598,131800,1503269,"[35221, 36671, 35212, 36927, 39153, 36168, 38232, 39427, 39719, 36852, 36924, 36947, 39150, 37894, 37374, 37075, 39104, 37061, 37388, 37652, 36867, 36906, 39149, 39583, 39294, 36938, 37128, 36478, 34978, 35977, 39416, 37962, 36981, 36857, 37073, 39457, 38203, 39272, 36244, 38355]"
