threads,repetition,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,basic_correctness_test_success,operations_per_thread
1,0,0,1.000000238418579,920439,479303,896152,428725,425463,203473,2242054,1,[2242054]
1,1,0,1.000000238418579,925974,482006,901615,431514,428019,204791,2255608,1,[2255608]
1,2,0,1.000000238418579,926660,482354,902305,431837,428350,204952,2257315,1,[2257315]
2,0,0,1.0000609159469604,469382,256758,456510,205903,216233,97890,1142125,1,"[576352, 565773]"
2,1,0,1.0000039339065552,399218,222327,387509,171724,183780,81610,970507,1,"[498945, 471562]"
2,2,0,1.000001072883606,397819,221708,386941,171118,182887,80973,967647,1,"[497335, 470312]"
4,0,0,1.0000121593475342,335749,191264,325783,140655,154336,66745,815868,1,"[44587, 226216, 267059, 278006]"
4,1,0,1.000005841255188,225974,136575,218915,86559,104010,40821,548899,1,"[126809, 184185, 157162, 80743]"
4,2,0,1.0000061988830566,197520,122610,192292,73027,90366,34243,480178,1,"[150657, 156338, 130019, 43164]"
8,0,0,1.0000113248825073,253753,150507,247102,100263,116648,47533,617503,1,"[55568, 149093, 7943, 6263, 94840, 109668, 151244, 42884]"
8,1,0,1.0000171661376953,221205,134322,215635,84319,102004,40127,538844,1,"[20743, 17399, 63760, 184241, 168562, 3335, 10212, 70592]"
8,2,0,1.0000211000442505,222634,135080,216125,85145,102248,40322,541007,1,"[5115, 15465, 57568, 185143, 179033, 2539, 10236, 85908]"
10,0,0,1.0000282526016235,220149,133636,213587,83508,101207,39693,534943,1,"[3223, 12099, 14504, 182029, 173945, 1480, 8115, 47967, 7538, 84043]"
10,1,0,1.0000323057174683,212539,130145,206707,80272,97848,38045,517094,1,"[5452, 13641, 16226, 183099, 144148, 2145, 8561, 858, 1040, 141924]"
10,2,0,1.0000313520431519,210583,129079,204814,79261,96905,37778,512302,1,"[5600, 13354, 16976, 181832, 142103, 2162, 8452, 888, 924, 140011]"
20,0,0,1.0000793933868408,328131,187153,317903,136281,150529,65068,796563,1,"[50876, 1555, 5235, 246605, 12162, 240, 543, 5059, 50753, 266410, 7876, 233, 27615, 2785, 747, 141, 29147, 53288, 13337, 21956]"
20,1,0,1.0000799894332886,348621,197375,339220,146931,160253,69578,848094,1,"[11861, 319, 3835, 408545, 1220, 1212, 208, 1496, 399, 406890, 135, 3880, 416, 1398, 602, 128, 2034, 1517, 583, 1416]"
20,2,0,1.0000865459442139,350010,197985,339651,147438,160729,69855,850390,1,"[12014, 348, 3602, 409811, 1163, 1163, 260, 1513, 434, 407889, 158, 3657, 348, 1581, 584, 142, 2077, 1462, 585, 1599]"
40,0,0,1.0001931190490723,304756,175854,295987,124978,140007,59364,740750,1,"[118864, 436, 575, 125, 395, 394, 152, 1443, 172, 116364, 407, 296, 318, 244, 135, 91, 2057, 2738, 2582, 251, 514, 124955, 96932, 97406, 776, 1047, 3695, 95, 171, 26707, 1880, 118874, 315, 3624, 167, 173, 1098, 149, 1888, 12245]"
40,1,0,1.0001789331436157,297983,172663,288995,121724,136727,57778,723705,1,"[119405, 648, 1746, 175, 102, 235, 251, 239, 196, 76506, 33, 772, 296, 222, 193, 79, 2268, 1845, 1614, 377, 370, 149129, 122298, 96487, 34045, 2236, 3779, 74, 155, 36, 2367, 65035, 356, 4075, 322, 173, 79, 14184, 20573, 730]"
40,2,0,1.0001587867736816,313316,179938,304342,129294,144882,61757,762540,1,"[117206, 626, 1050, 701, 6187, 169, 120, 1802, 111, 1840, 168, 725, 695, 709, 245, 44, 37255, 1426, 1269, 567, 153, 156266, 146253, 104038, 20302, 44, 124, 8, 167, 123, 94, 109, 118, 1326, 5, 156, 105, 50174, 109951, 109]"
64,0,0,1.0004112720489502,235474,141672,228648,91407,107825,43183,571947,1,"[1958, 11843, 8017, 224, 12485, 1226, 188, 252, 14047, 2249, 670, 432, 751, 537, 112, 354, 1350, 769, 796, 1443, 112, 665, 7688, 7599, 487, 823, 162, 109, 57, 660, 349, 41, 43, 44383, 634, 752, 514, 871, 63721, 233, 33431, 244, 85223, 76473, 34791, 214, 62207, 486, 1090, 187, 1174, 474, 1976, 1732, 1319, 5791, 427, 66, 488, 422, 596, 71625, 1466, 439]"
64,1,0,1.0002667903900146,243323,145520,237144,95402,112176,45045,592643,1,"[108, 6361, 59654, 471, 10036, 1244, 99, 78138, 92734, 1253, 605, 329, 714, 269, 1009, 220, 656, 936, 812, 1491, 91, 261, 630, 805, 408, 524, 110, 104, 79435, 230, 88, 24, 20, 856, 596, 571, 401, 146, 769, 72, 63501, 376, 47465, 19051, 65708, 71, 9018, 381, 1485, 136, 721, 297, 2655, 2102, 1692, 182, 207, 42, 300, 314, 360, 30987, 2036, 276]"
64,2,0,1.0002480745315552,236477,142206,229675,92058,108748,43653,574900,1,"[119, 54682, 40733, 174, 242, 1212, 107, 38793, 64742, 1254, 526, 246, 348, 66, 411, 297, 876, 962, 791, 1701, 72, 10895, 383, 617, 429, 650, 188, 74, 12376, 151, 127, 12, 31, 1133, 464, 889, 346, 112, 562, 120, 72094, 429, 88297, 458, 21488, 85, 83544, 296, 1633, 365, 1189, 268, 2162, 2091, 1088, 117, 306, 49, 54458, 346, 472, 2655, 2609, 488]"
