threads,repetition,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,operations_per_thread
1,0,0,5.0,4602126,2299143,4489012,2248572,2134149,1068126,11225287,[11225287]
1,1,0,5.0,4601586,2298876,4488482,2248291,2133894,1067997,11223962,[11223962]
1,2,0,5.000000476837158,4339168,2169426,4232684,2118625,2012174,1006397,10584026,[10584026]
2,0,0,5.000000953674316,2030859,1027694,1981040,977215,941886,465750,4953785,"[2503851, 2449934]"
2,1,0,5.000001430511475,2041965,1033655,1991415,983285,945345,467328,4978725,"[2516534, 2462191]"
2,2,0,5.000000953674316,1879229,954224,1834923,903419,871570,428692,4585722,"[2267422, 2318300]"
4,0,0,5.000004768371582,1290390,662486,1258726,611947,598134,290869,3147250,"[888717, 593884, 853429, 811220]"
4,1,0,5.00000524520874,1271397,653993,1242761,603483,589490,286257,3103648,"[980990, 1003350, 131352, 987956]"
4,2,0,5.000004768371582,1177076,607290,1149099,556393,545530,264682,2871705,"[910915, 374670, 628576, 957544]"
8,0,0,5.000021457672119,1206622,622098,1179598,571595,560660,271647,2946880,"[836730, 27425, 323733, 991813, 306540, 68855, 342834, 48950]"
8,1,0,5.0000176429748535,1175564,606558,1146052,555647,545878,264525,2867494,"[876351, 17444, 105428, 992335, 21778, 360112, 444340, 49706]"
8,2,0,5.000019550323486,1178161,608118,1150641,557410,545923,265449,2874725,"[880189, 14575, 8094, 993337, 25058, 432974, 456078, 64420]"
10,0,0,5.000026702880859,1272159,653889,1242214,603302,590086,286534,3104459,"[989633, 9749, 530059, 178728, 34354, 422705, 81150, 778687, 17974, 61420]"
10,1,0,5.000030040740967,1240024,637825,1210378,587652,573701,278054,3024103,"[1076588, 6831, 541134, 276414, 37149, 493595, 525427, 8776, 4842, 53347]"
10,2,0,5.000033855438232,1189312,613198,1162045,562414,551160,267400,2902517,"[1001442, 6927, 706555, 333402, 31306, 743661, 26878, 3355, 3181, 45810]"
20,0,0,5.0000786781311035,1768108,898226,1725372,847293,820360,403944,4313840,"[1938300, 1080, 63381, 4763, 1712, 18448, 14506, 1127, 554, 2492, 25103, 26786, 15597, 89529, 56481, 1920435, 5480, 1774, 18132, 108160]"
20,1,0,5.000075817108154,1792937,910469,1751619,859592,831473,408471,4376029,"[2050363, 634, 69575, 3524, 1709, 8405, 21108, 1207, 621, 2771, 11045, 495, 6763, 70321, 6744, 2041338, 1444, 1507, 21153, 55302]"
20,2,0,5.000069618225098,1794368,911985,1750584,861083,832479,409192,4377431,"[2037213, 35534, 54102, 36697, 6758, 29101, 9029, 1095, 37094, 1210062, 5588, 795, 12282, 28098, 9233, 819633, 10152, 1441, 9667, 23857]"
40,0,0,5.000164031982422,1577802,805092,1542007,754520,731331,357238,3851140,"[435641, 13018, 3623, 13003, 8367, 20305, 8504, 1709, 40998, 346850, 3027, 296867, 14758, 3510, 7858, 5071, 12630, 7196, 4570, 14557, 11798, 118424, 1021963, 457428, 1637, 1440, 1186, 2107, 4390, 2343, 936265, 3759, 13345, 1711, 1246, 1649, 1904, 2098, 1596, 2789]"
40,1,0,5.000178337097168,1632133,831380,1594190,780824,757163,371303,3983486,"[111895, 17229, 5464, 10827, 12610, 20118, 12719, 11041, 2635, 84842, 2905, 8683, 23718, 2757, 10908, 7031, 20500, 6237, 7475, 2405, 3156, 20936, 1708780, 114735, 1967, 2406, 1388, 2407, 5810, 1519, 1707496, 6545, 6135, 1951, 1441, 3142, 2629, 3873, 921, 4250]"
40,2,0,5.000178337097168,1632507,831945,1593798,781326,757135,371389,3983440,"[112410, 17371, 5476, 11517, 12651, 19638, 12894, 17398, 3263, 84923, 3121, 3396, 24396, 2955, 11602, 7176, 21003, 6610, 7703, 2388, 3350, 20434, 1706471, 115952, 2436, 2253, 1116, 2233, 5377, 1544, 1704833, 6032, 6478, 2439, 1431, 3224, 2531, 3079, 940, 3396]"
64,0,0,5.000243186950684,1166311,601599,1139402,550871,540637,261681,2846350,"[7066, 13291, 1366, 10310, 5511, 1811, 10139, 7072, 7784, 10693, 2599, 240625, 1579, 8645, 1700, 383804, 1033, 6614, 4411, 3440, 289, 4824, 477173, 186373, 3368, 701, 10725, 5797, 1275, 2458, 141510, 2820, 2750, 4900, 1433, 588, 1178, 1443, 569, 1822, 626, 2066, 6315, 11030, 329807, 156422, 192, 3414, 2345, 7639, 2409, 1476, 2478, 319574, 883, 3089, 3148, 394802, 5268, 1327, 233, 412, 6169, 3737]"
64,1,0,5.000275135040283,1171769,604271,1144116,553480,543042,262919,2858927,"[377522, 13354, 1560, 10444, 5617, 1817, 10793, 6300, 6238, 5380, 2156, 327807, 1644, 9346, 1839, 385338, 895, 6056, 4216, 3891, 360, 5075, 477810, 2632, 1824, 657, 10784, 5229, 559, 428, 140519, 2430, 7448, 5165, 1292, 1196, 1019, 1598, 613, 2009, 3032, 1491, 3467, 11530, 331589, 136777, 208, 2211, 2055, 6866, 2566, 2403, 2706, 469043, 893, 2772, 3385, 8168, 4451, 3195, 382, 303, 4640, 3934]"
64,2,0,5.000245094299316,1172754,605240,1146187,554601,544789,264274,2863730,"[380729, 14653, 1356, 11287, 5380, 1729, 9975, 7081, 6857, 4878, 2346, 329617, 1792, 8662, 1624, 386061, 2251, 4516, 4774, 3356, 354, 4697, 478400, 2496, 1862, 641, 9275, 5167, 592, 477, 138307, 2593, 2623, 4562, 1535, 591, 11144, 1661, 471, 2120, 3659, 1498, 3491, 10630, 332687, 135914, 219, 2522, 2128, 6807, 2221, 1194, 2641, 470117, 967, 2978, 3324, 7456, 4558, 1588, 195, 367, 4566, 3511]"
