threads,repetition,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,basic_correctness_test_success,operations_per_thread
1,0,0,1.0000003576278687,887037,462972,863680,412192,410174,195732,2160891,1,[2160891]
1,1,0,1.0000001192092896,891939,465406,868501,414676,412467,196938,2172907,1,[2172907]
1,2,0,1.0000003576278687,894361,466609,870891,415923,413618,197500,2178870,1,[2178870]
2,0,0,1.0000027418136597,525854,284882,511993,234257,242847,111625,1280694,1,"[636434, 644260]"
2,1,0,1.0000020265579224,400838,223455,389915,172546,184696,81999,975449,1,"[488891, 486558]"
2,2,0,1.0000016689300537,399938,222818,389344,172200,184670,81929,973952,1,"[486830, 487122]"
4,0,0,1.0000059604644775,331283,188983,322115,138295,152172,65720,805570,1,"[154667, 147645, 183719, 319539]"
4,1,0,1.0000057220458984,256240,152006,248534,101265,117402,47984,622176,1,"[197108, 186491, 40429, 198148]"
4,2,0,1.0000059604644775,286289,166635,277560,116067,131084,54868,694933,1,"[237159, 33552, 210723, 213499]"
8,0,0,1.0000120401382446,316142,181283,307523,130730,145729,62523,769394,1,"[277072, 7582, 76952, 44278, 3687, 225837, 97603, 36383]"
8,1,0,1.0000219345092773,249899,148833,242642,98388,115019,46901,607560,1,"[203191, 2152, 34771, 35948, 111468, 187551, 14998, 17481]"
8,2,0,1.000020146369934,237549,142478,230872,92136,108941,43524,577362,1,"[197006, 4245, 133701, 59909, 157208, 8788, 12859, 3646]"
10,0,0,1.0000232458114624,277242,162099,269136,111522,127408,53012,673786,1,"[177746, 1233, 16055, 35743, 102738, 7063, 9746, 2423, 59663, 261376]"
10,1,0,1.0000275373458862,248247,148005,241459,97546,114100,46456,603806,1,"[187042, 1658, 17021, 35080, 112658, 4426, 14766, 6116, 4678, 220361]"
10,2,0,1.0000250339508057,271519,159452,263182,108896,124683,51795,659384,1,"[179587, 1258, 20693, 233815, 15872, 6895, 4236, 25090, 38705, 133233]"
20,0,0,1.0000745058059692,342855,194533,332542,143759,157440,68327,832837,1,"[651, 889, 2903, 141443, 270, 730, 547, 6604, 3168, 1485, 11453, 16733, 17690, 224, 235547, 129669, 243984, 13378, 2310, 3159]"
20,1,0,1.0000684261322021,353974,200075,344237,149320,162425,70898,860636,1,"[357215, 1115, 2575, 53941, 362, 387, 99, 9636, 6466, 1358, 4179, 9686, 290, 246, 353972, 4297, 47803, 108, 470, 6431]"
20,2,0,1.0000665187835693,357257,201435,347120,150781,164420,71859,868797,1,"[404542, 311, 2686, 11546, 473, 88, 139, 9226, 6854, 1331, 5841, 9247, 255, 236, 402637, 5905, 416, 135, 153, 6776]"
40,0,0,1.0001713037490845,319454,183136,310324,132395,146871,62925,776649,1,"[128967, 2169, 674, 119670, 114, 701, 169, 1450, 1372, 3114, 48, 441, 160, 65, 106740, 50, 2119, 240, 265, 2196, 12366, 17260, 125875, 136639, 2016, 569, 1518, 110, 471, 110, 595, 576, 428, 284, 2146, 167, 97636, 2801, 2579, 1779]"
40,1,0,1.0001829862594604,334512,190538,324493,139849,153988,66375,812993,1,"[133263, 1133, 411, 133717, 127, 226, 146, 1156, 1146, 5259, 101, 242, 169, 172, 118415, 99, 1145, 165, 161, 1844, 1156, 807, 139223, 139455, 1245, 535, 1253, 180, 235, 129, 213, 542, 159, 146, 2905, 64, 117081, 5170, 3353, 45]"
40,2,0,1.0001639127731323,333437,189618,324033,139020,153503,66333,810973,1,"[132704, 1084, 368, 133421, 183, 230, 209, 1105, 1572, 5153, 180, 173, 146, 149, 117539, 184, 1100, 143, 216, 2549, 919, 877, 139195, 138547, 1171, 579, 1805, 166, 163, 183, 211, 610, 217, 211, 2438, 70, 117263, 5077, 2806, 57]"
64,0,0,1.000278353691101,239429,143799,233894,93617,110223,44317,583546,1,"[66453, 119, 2390, 77913, 525, 1074, 171, 527, 1476, 881, 204, 1070, 150, 132, 1117, 283, 1153, 300, 2077, 212, 33290, 743, 429, 1503, 417, 119, 90023, 310, 762, 62, 305, 2106, 998, 1281, 843, 826, 955, 925, 498, 35, 383, 78550, 580, 80, 838, 5576, 34, 93362, 2386, 134, 83, 168, 249, 237, 1195, 63461, 108, 1833, 960, 395, 1946, 34795, 1203, 333]"
64,1,0,1.0003626346588135,239159,143602,232463,93379,110002,44252,581624,1,"[57045, 285, 2623, 68121, 760, 1005, 540, 726, 1029, 657, 148, 858, 160, 166, 285, 194, 1242, 302, 1368, 217, 41355, 702, 470, 1705, 665, 399, 65199, 1082, 4501, 395, 174, 1476, 626, 1301, 950, 833, 682, 1380, 1249, 231, 337, 77533, 417, 23087, 891, 19983, 669, 52813, 24636, 294, 247, 604, 957, 340, 414, 56429, 843, 1765, 1887, 558, 1204, 50697, 1414, 499]"
64,2,0,1.0004194974899292,234996,141343,228367,90997,108221,43324,571584,1,"[33276, 939, 2949, 1762, 11929, 662, 794, 422, 695, 263, 2651, 1095, 491, 557, 594, 434, 1157, 515, 1456, 5008, 79569, 90, 4429, 1779, 7250, 515, 32953, 1817, 6086, 7116, 299, 36150, 660, 450, 1056, 186, 175, 296, 772, 1276, 214, 396, 458, 51235, 142, 58607, 1302, 1287, 834, 10212, 729, 716, 1340, 1791, 192, 67718, 1347, 78734, 2215, 623, 912, 37967, 1643, 397]"
