threads,repetition,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,operations_per_thread
1,0,0,5.0,4400250,2199346,4292188,2148810,2040529,1020713,10732967,[10732967]
1,1,0,5.0,4416419,2207281,4307604,2156619,2047868,1024449,10771891,[10771891]
1,2,0,5.000000476837158,4417484,2207786,4308643,2157150,2048337,1024681,10774464,[10774464]
2,0,0,5.000009059906006,1436271,734959,1403034,684367,666032,325010,3505337,"[1864147, 1641190]"
2,1,0,5.000002384185791,1641477,836168,1602527,785197,761510,373852,4005514,"[2078600, 1926914]"
2,2,0,5.000011444091797,1121509,579052,1095575,528612,520634,251990,2737718,"[1468697, 1269021]"
4,0,0,5.000011444091797,1254962,646110,1229335,595647,582926,283197,3067223,"[948503, 192498, 902052, 1024170]"
4,1,0,5.000003814697266,1209311,622855,1179325,572307,560098,271713,2948734,"[447973, 781181, 820593, 898987]"
4,2,0,5.000004768371582,1242707,638676,1212534,588245,576776,280045,3032017,"[711022, 1023664, 855114, 442217]"
8,0,0,5.000023365020752,1184392,610230,1156253,559544,549166,266320,2889811,"[21106, 992268, 833861, 810023, 84768, 28825, 48639, 70321]"
8,1,0,5.000021457672119,1219312,628264,1191120,577533,565585,274548,2976017,"[998813, 612740, 205811, 613629, 44238, 400740, 54838, 45208]"
8,2,0,5.0000176429748535,1213679,625111,1185874,574411,562493,272743,2962046,"[1018816, 15513, 57715, 907772, 8314, 842381, 48285, 63250]"
10,0,0,5.000030040740967,1208894,622541,1181278,572056,560665,272464,2950837,"[1020229, 416932, 23819, 313327, 16636, 7970, 18492, 66005, 95014, 972413]"
10,1,0,5.000023365020752,1181886,609195,1154123,558475,547878,265090,2883887,"[1036441, 424974, 25067, 459517, 18051, 10252, 24882, 111585, 21218, 751900]"
10,2,0,5.000029563903809,1180533,608860,1152284,558093,547474,265733,2880291,"[1036274, 339345, 8180, 932042, 8461, 22501, 41051, 420201, 67414, 4822]"
20,0,0,5.000069618225098,1715028,872113,1674909,821250,795343,390451,4185280,"[1662041, 187568, 183901, 127491, 15562, 10733, 2644, 13090, 8256, 13047, 149077, 24293, 877526, 779285, 25313, 77076, 11918, 12124, 2270, 2065]"
20,1,0,5.000086307525635,1753392,891307,1710151,840358,813393,400502,4276936,"[1994785, 6793, 61571, 2665, 6753, 18983, 2106, 53115, 9452, 73585, 1747, 9401, 1985747, 1838, 628, 21671, 18759, 5313, 621, 1403]"
20,2,0,5.000075340270996,1763032,895651,1719881,844938,818833,401940,4301746,"[2009719, 6674, 61748, 2504, 6634, 20920, 2120, 70024, 8868, 69039, 1665, 9909, 2000862, 1647, 772, 564, 20680, 5541, 509, 1347]"
40,0,0,5.000198841094971,1558129,795618,1521620,745097,722400,353531,3802149,"[640315, 14386, 582488, 1337, 10730, 5380, 1333, 4547, 13285, 16820, 4848, 19810, 504287, 4109, 746, 984, 8901, 12265, 719, 968, 4298, 85217, 6295, 1908, 2564, 1326, 6366, 3135, 6484, 488371, 698208, 14676, 81176, 662, 1260, 1436, 530297, 4884, 1576, 13752]"
40,1,0,5.000166893005371,1592145,811792,1556602,761337,738297,362371,3887044,"[633027, 21264, 150162, 527980, 27644, 4122, 2593, 2610, 13039, 14644, 4155, 24412, 541733, 10899, 508411, 3502, 8936, 9216, 685, 407354, 865, 1002, 1646, 892, 1179, 666, 1620, 1204, 2366, 114855, 141736, 35879, 357, 1198, 508618, 1970, 145885, 705, 365, 7648]"
40,2,0,5.000167369842529,1619561,825522,1582341,774556,750728,368423,3952630,"[650007, 18608, 4241, 675249, 13477, 3705, 1313, 5106, 12272, 18963, 3723, 21364, 560078, 12032, 694088, 5295, 7155, 11786, 548, 554947, 642, 540, 1647, 648, 773, 258, 2967, 2033, 1740, 2841, 1296, 7179, 250, 823, 646274, 1941, 835, 831, 248, 4907]"
64,0,0,5.000243663787842,1154814,595776,1127032,545147,535293,259473,2817139,"[410688, 2041, 4613, 1858, 152043, 2723, 4486, 9491, 4685, 13100, 4617, 86622, 273180, 7519, 273227, 4630, 2290, 11682, 2088, 278252, 1429, 3464, 1647, 30374, 4008, 195, 4028, 3043, 362, 2928, 2193, 2983, 531, 1683, 374866, 869, 2245, 606, 3874, 934, 4991, 2390, 106429, 5522, 7026, 163647, 76475, 10188, 1400, 4044, 2037, 1794, 162, 1674, 4680, 2726, 8337, 1356, 7965, 3317, 399211, 1352, 6388, 1931]"
64,1,0,5.000241279602051,1174142,605313,1146673,554535,543705,263851,2864520,"[498253, 1587, 5366, 1734, 9555, 725, 3749, 8318, 4507, 12942, 3851, 4901, 322732, 7206, 194270, 4743, 5869, 10286, 2224, 343786, 1364, 3702, 1375, 155364, 5835, 235, 3185, 1409, 245, 2175, 859, 2263, 404, 1708, 358506, 491, 2854, 740, 3262, 1754, 4745, 2089, 2490, 25209, 7039, 381942, 7519, 10088, 402, 2515, 838, 1811, 2236, 660, 4371, 2368, 8911, 1369, 1930, 3186, 395057, 985, 1734, 692]"
64,2,0,5.000247001647949,1166231,601744,1138852,551125,541044,261768,2846127,"[436795, 374303, 5148, 1873, 389706, 764, 4216, 2248, 1888, 14099, 208440, 5448, 187827, 10761, 4756, 310577, 312512, 20163, 1952, 241835, 1379, 5450, 1078, 5674, 5792, 184, 2590, 1102, 336, 2779, 846, 2418, 371, 1546, 137493, 513, 2363, 923, 2736, 4916, 3385, 3060, 25415, 4590, 6447, 10860, 8748, 11079, 340, 1754, 167, 3623, 2011, 728, 3470, 1973, 8204, 1203, 3123, 18947, 7063, 1320, 2190, 627]"
