threads,repetition,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,operations_per_thread
1,0,0,1.0000005960464478,665375,354723,650902,303888,308507,144321,1624784,[1624784]
1,1,0,1.0000003576278687,652021,348099,638131,297464,302565,141278,1592717,[1592717]
1,2,0,1.0000007152557373,654547,349351,640539,298665,303665,141834,1598751,[1598751]
2,0,0,1.0000011920928955,592405,319934,584784,269669,277865,128477,1455054,"[732379, 722675]"
2,1,0,1.0000017881393433,589890,318779,584618,268391,277519,127666,1452027,"[722836, 729191]"
2,2,0,1.0000011920928955,593352,320567,587473,270192,278690,128519,1459515,"[728378, 731137]"
4,0,0,1.0000033378601074,212100,129735,206851,79756,97965,37962,516916,"[117821, 138344, 121760, 138991]"
4,1,0,1.000009298324585,199546,123473,193229,73677,91968,35171,484743,"[111411, 125836, 118299, 129197]"
4,2,0,1.0000159740447998,196071,121577,190586,72007,90618,34239,477275,"[113483, 124302, 111146, 128344]"
8,0,0,1.0000176429748535,153398,99932,148509,51811,70819,24429,372726,"[46467, 46475, 45594, 46105, 47603, 47307, 47374, 45801]"
8,1,0,1.0000203847885132,145986,96440,142739,48743,68036,23287,356761,"[44002, 44300, 45009, 45038, 45389, 44613, 44298, 44112]"
8,2,0,1.0000275373458862,141747,93896,137859,46590,65942,21997,345548,"[43427, 42352, 43894, 43158, 43144, 43695, 42436, 43442]"
10,0,0,1.0000278949737549,142223,94343,139616,46798,65886,22250,347725,"[33944, 34815, 34656, 35199, 34962, 34946, 35031, 35399, 34972, 33801]"
10,1,0,1.0000171661376953,139197,92647,136009,45142,64581,21573,339787,"[33738, 34104, 32902, 33879, 33485, 34273, 34980, 34098, 34893, 33435]"
10,2,0,1.000020146369934,138318,92207,134411,44829,63477,21311,336206,"[32846, 33555, 32830, 33642, 33594, 34127, 34245, 33377, 34672, 33318]"
20,0,0,1.000057339668274,129174,87451,125051,40847,59627,19138,313852,"[16247, 15798, 15931, 15951, 15625, 15673, 15802, 16491, 15960, 16031, 16015, 15296, 15487, 15271, 16375, 15174, 15382, 15204, 15114, 15025]"
20,1,0,1.0000388622283936,128250,86783,124208,40027,59406,19341,311864,"[15188, 15478, 15530, 15525, 15282, 16131, 15587, 15596, 15938, 15229, 16173, 15276, 15184, 15887, 16082, 15238, 15980, 15314, 15650, 15596]"
20,2,0,1.0000501871109009,128236,86987,124416,39985,59598,19260,312250,"[15080, 15715, 15713, 15462, 15725, 16199, 15572, 15215, 15466, 14954, 16152, 15756, 14954, 16181, 15900, 15111, 16174, 15408, 16085, 15428]"
40,0,0,1.0001220703125,125333,85175,121507,38861,58179,18612,305019,"[7549, 7636, 7404, 7548, 7578, 7500, 7536, 7723, 7479, 7463, 7814, 7746, 7598, 7968, 7671, 7533, 7915, 7683, 7757, 7913, 7541, 7513, 7546, 7390, 7533, 7485, 7549, 7680, 7637, 7786, 7753, 7574, 7578, 7738, 7752, 7573, 7744, 7667, 7565, 7401]"
40,1,0,1.0000916719436646,124627,84812,120612,38311,57765,18568,303004,"[7484, 7650, 7433, 7242, 7442, 7773, 7377, 7523, 7904, 7220, 7784, 7735, 7385, 7771, 7488, 7594, 7758, 7495, 7617, 7660, 7586, 7563, 7664, 7511, 7559, 7545, 7618, 7491, 7727, 7462, 7634, 7363, 7771, 7345, 7719, 7633, 7531, 7735, 7657, 7555]"
40,2,0,1.000150203704834,124554,85096,121593,38965,57979,18338,304126,"[7316, 7497, 7434, 7184, 7450, 7815, 7558, 7580, 7787, 7386, 7449, 7769, 7265, 7693, 7473, 7726, 7811, 7609, 7764, 7525, 7653, 7543, 7497, 7356, 7969, 7524, 7727, 7512, 7955, 7663, 7839, 7452, 7794, 7416, 7839, 7531, 7659, 7849, 7609, 7648]"
64,0,0,1.0004491806030273,121402,83186,118403,37118,56339,17775,296144,"[4707, 4444, 4813, 4542, 4801, 4476, 4781, 4643, 4832, 4767, 4612, 4667, 4469, 4751, 4728, 4725, 4815, 4600, 4734, 4610, 4762, 4400, 4704, 4756, 4699, 4735, 4131, 4191, 4848, 4655, 4629, 4440, 4577, 4465, 4765, 4428, 4404, 4801, 4711, 4690, 4407, 4507, 4686, 4302, 4420, 4724, 4651, 4620, 4620, 4598, 4532, 4665, 4587, 4566, 4890, 4765, 4765, 4586, 4666, 4573, 4657, 4448, 4808, 4793]"
64,1,0,1.000545620918274,122276,83646,118955,37661,56672,18004,297903,"[4581, 4737, 4630, 4507, 4322, 4712, 4541, 4714, 4754, 4659, 4647, 4672, 4256, 4569, 4685, 4339, 4548, 4778, 4648, 4678, 4121, 4437, 4825, 4785, 4578, 4598, 4686, 4721, 4831, 4398, 4647, 4577, 4760, 4782, 4553, 4561, 4436, 4803, 4716, 4747, 4921, 4545, 4690, 4803, 4700, 4706, 4810, 4725, 4785, 4717, 4396, 4650, 4724, 4850, 4770, 4560, 4770, 4870, 4659, 4613, 4665, 4891, 4883, 4661]"
64,2,0,1.0001790523529053,121547,83292,118218,37206,56476,17629,296241,"[4525, 4444, 4306, 4646, 4651, 4767, 4812, 4606, 4627, 4653, 4521, 4679, 4578, 4513, 4663, 4554, 4623, 4685, 4575, 4529, 4389, 4488, 4729, 4550, 4799, 4585, 4719, 4667, 4730, 4485, 4937, 4763, 4700, 4639, 4393, 4539, 4738, 4513, 4631, 4639, 4575, 4721, 4779, 4479, 4733, 4661, 4624, 4523, 4644, 4715, 4757, 4556, 4501, 4542, 4573, 4582, 4564, 4782, 4759, 4696, 4976, 4488, 4731, 4690]"
