threads,repetition,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,basic_correctness_test_success,operations_per_thread
1,0,0,1.0000003576278687,209182,126588,189757,75026,1499602,594518,1898541,1,[1898541]
1,1,0,1.000000238418579,200054,122086,181564,70841,1433467,560545,1815085,1,[1815085]
1,2,0,1.0000001192092896,199153,121637,180712,70424,1426841,557199,1806706,1,[1806706]
2,0,0,1.0000081062316895,108181,75596,100460,30263,791322,239767,999963,1,"[631777, 368186]"
2,1,0,1.0000022649765015,102530,72406,95173,27892,751736,220848,949439,1,"[620651, 328788]"
2,2,0,1.0000039339065552,105569,74160,98772,29377,775551,230586,979892,1,"[660467, 319425]"
4,0,0,1.0000170469284058,59345,46814,53087,11118,422418,88534,534850,1,"[136974, 131483, 122779, 143614]"
4,1,0,1.0000083446502686,50270,40887,45531,8467,358935,67301,454736,1,"[118270, 126508, 90326, 119632]"
4,2,0,1.000009536743164,64407,50150,58175,12831,458834,102433,581416,1,"[149909, 146252, 144469, 140786]"
8,0,0,1.0000228881835938,62633,48928,56009,12253,443085,96825,561727,1,"[68218, 72198, 71800, 71994, 70041, 71058, 68287, 68131]"
8,1,0,1.0000230073928833,45723,37751,40884,7171,324328,56876,410935,1,"[49044, 51817, 53193, 51281, 51897, 53019, 49736, 50948]"
8,2,0,1.0000139474868774,43828,36532,39273,6755,312288,53105,395389,1,"[47198, 49366, 51656, 49069, 50343, 50708, 47623, 49426]"
10,0,0,1.0000277757644653,42304,35354,37998,6235,299559,49304,379861,1,"[38122, 37798, 39263, 37524, 39538, 38530, 36439, 37889, 37697, 37061]"
10,1,0,1.0000178813934326,40653,34137,36439,5808,288528,46485,365620,1,"[35116, 36317, 37655, 36253, 37720, 37091, 37051, 37030, 36414, 34973]"
10,2,0,1.0000258684158325,39560,33396,35442,5430,279473,43731,354475,1,"[33855, 34738, 36664, 34690, 36945, 35928, 36959, 36017, 35132, 33547]"
20,0,0,1.0000369548797607,39836,33646,35678,5678,283683,44610,359197,1,"[18248, 17712, 18192, 17855, 18283, 18325, 18402, 18169, 17769, 18372, 17365, 17398, 17863, 17972, 17441, 18143, 18273, 17795, 17778, 17842]"
20,1,0,1.0000413656234741,39679,33503,35909,5655,282778,43737,358366,1,"[17498, 17632, 18187, 18067, 18306, 18291, 18492, 18316, 17585, 18398, 17534, 17364, 17985, 17949, 17568, 18101, 17725, 18137, 17360, 17871]"
20,2,0,1.0000407695770264,39144,33019,34979,5281,277108,43049,351231,1,"[17094, 17260, 17802, 17571, 17719, 17638, 17872, 18084, 17176, 17927, 17168, 17173, 17991, 16868, 17904, 17832, 17658, 18149, 17100, 17245]"
40,0,0,1.0000929832458496,38765,32844,34653,5366,274024,42307,347442,1,"[8765, 8582, 8507, 8543, 8785, 8831, 9007, 8789, 8753, 8853, 8562, 8607, 9047, 8522, 8749, 8715, 8764, 8977, 8585, 8413, 8995, 8600, 8725, 8732, 8540, 8676, 8625, 8510, 8835, 8650, 8728, 8500, 8509, 8674, 8593, 8724, 8570, 8774, 8327, 8799]"
40,1,0,1.0000838041305542,37658,31980,33704,5001,266538,39836,337900,1,"[8291, 8449, 8277, 8205, 8461, 8484, 8627, 8544, 8516, 8764, 8516, 8287, 8561, 8303, 8624, 8599, 8457, 8645, 8552, 8160, 8603, 8268, 8636, 8581, 8229, 8404, 8283, 8406, 8501, 8346, 8469, 8407, 8411, 8552, 8460, 8663, 8261, 8345, 8345, 8408]"
40,2,0,1.0000853538513184,37421,31828,33690,5080,265852,39658,336963,1,"[8329, 8412, 8362, 8191, 8686, 8602, 8659, 8661, 8524, 8533, 8611, 8210, 8523, 8166, 8452, 8400, 8524, 8610, 8434, 8333, 8727, 8179, 8602, 8681, 8126, 8262, 8295, 8197, 8538, 8432, 8415, 8252, 8283, 8755, 8273, 8468, 8242, 8151, 8334, 8529]"
64,0,0,1.0004491806030273,38169,32359,34324,5257,270049,41266,342542,1,"[5134, 5370, 5397, 5278, 5506, 5394, 5534, 5293, 5272, 5463, 5386, 5343, 5383, 5258, 5505, 5468, 5431, 5522, 5376, 5464, 4728, 5237, 5379, 5464, 5404, 5233, 5412, 4988, 5458, 5420, 5430, 5340, 5309, 5576, 5485, 5373, 5477, 5459, 5183, 5516, 5166, 5502, 5062, 5334, 5565, 5212, 5363, 5353, 5319, 5338, 5386, 5217, 5320, 5301, 5476, 5363, 5493, 5386, 5454, 4922, 5488, 5245, 5348, 5281]"
64,1,0,1.0004358291625977,38155,32499,33948,5219,270571,41571,342674,1,"[5164, 5399, 5564, 5115, 5370, 5335, 5012, 5423, 5741, 5636, 4998, 5235, 5384, 5278, 5310, 5280, 5362, 5222, 5247, 5214, 5591, 5298, 5438, 5366, 5201, 5287, 5575, 5370, 5286, 5640, 5462, 5038, 5406, 5526, 5511, 4835, 5413, 5469, 5381, 5530, 5251, 5344, 5402, 5332, 5510, 5403, 5145, 5307, 5280, 5486, 5510, 5459, 5535, 5479, 5469, 5119, 5279, 5463, 5510, 5375, 5214, 5450, 5076, 5364]"
