threads,repetition,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,basic_correctness_test_success,operations_per_thread
1,0,0,5.0,3415314,1712064,3333641,1661611,1581726,788095,8330681,1,[8330681]
1,1,0,5.000000476837158,3268148,1639658,3190416,1589149,1513423,753652,7971987,1,[7971987]
1,2,0,5.0,3259309,1635334,3181878,1584823,1509404,751637,7950591,1,[7950591]
2,0,0,5.000009059906006,1834016,934065,1800439,883895,852779,418526,4487234,1,"[2405596, 2081638]"
2,1,0,5.000001907348633,1766420,900010,1732447,849429,821399,403526,4320266,1,"[2355575, 1964691]"
2,2,0,5.000002861022949,1509965,772806,1482899,722516,702781,342536,3695645,1,"[2111453, 1584192]"
4,0,0,5.000004291534424,748331,394389,728176,343826,345503,162736,1822010,1,"[469717, 410013, 461733, 480547]"
4,1,0,5.000030994415283,691414,366604,672843,315902,319355,150329,1683612,1,"[437742, 423700, 402627, 419543]"
4,2,0,5.0000200271606445,686233,364024,667509,313274,316108,148908,1669850,1,"[435991, 426297, 396669, 410893]"
8,0,0,5.000015735626221,714024,378558,695684,327625,330151,155439,1739859,1,"[212143, 222315, 222680, 218678, 217285, 215309, 213644, 217805]"
8,1,0,5.00001859664917,672697,357389,654339,306965,310185,145135,1637221,1,"[200112, 199339, 210563, 211044, 208524, 206190, 202610, 198839]"
8,2,0,5.00002908706665,651356,346766,633722,295951,300199,140525,1585277,1,"[192846, 201513, 206311, 207666, 197297, 187358, 195854, 196432]"
10,0,0,5.00001859664917,640173,341343,622386,290907,294364,137416,1556923,1,"[151861, 152734, 163939, 164947, 152661, 151452, 157245, 154343, 160460, 147281]"
10,1,0,5.000023365020752,604682,324262,588423,273778,278677,129571,1471782,1,"[152725, 141983, 143242, 144245, 153058, 153255, 143101, 149486, 137420, 153267]"
10,2,0,5.000025749206543,610010,326506,593169,275879,280615,130162,1483794,1,"[153794, 152049, 144976, 151072, 153134, 152660, 139877, 147012, 142337, 146883]"
20,0,0,5.000115394592285,620314,331945,604198,281220,286587,133190,1511099,1,"[78062, 75474, 76762, 76792, 75308, 79214, 74927, 75770, 72612, 77171, 76386, 78308, 71576, 73865, 73960, 74494, 73764, 76448, 75686, 74520]"
20,1,0,5.000071048736572,617753,330703,601426,280226,285250,132289,1504429,1,"[76738, 76719, 76018, 76155, 74329, 76111, 74791, 76247, 72492, 77628, 76254, 77875, 72902, 73664, 73384, 74032, 72595, 76505, 74532, 75458]"
20,2,0,5.000052452087402,628131,335206,610945,284471,290065,134849,1529141,1,"[76790, 77405, 75051, 77567, 78524, 73390, 77790, 77719, 72717, 79828, 77523, 78887, 76456, 75806, 74030, 76694, 75380, 74732, 78100, 74752]"
40,0,0,5.000117301940918,622875,332306,605284,281552,286515,133164,1514674,1,"[37016, 38073, 36989, 37723, 37309, 35662, 37408, 37070, 37297, 37033, 37574, 36858, 39507, 38445, 39029, 38965, 39864, 35475, 37219, 37307, 36973, 39941, 37643, 38957, 36692, 37776, 37252, 38355, 37012, 39363, 37928, 36802, 38147, 38102, 37948, 39768, 37543, 39422, 37790, 39437]"
40,1,0,5.000107288360596,609098,326348,592567,275716,280102,130574,1481767,1,"[36687, 37880, 36427, 36763, 35305, 35233, 38068, 37347, 36066, 36444, 36533, 36440, 37395, 37336, 38008, 38234, 36717, 36255, 36287, 36567, 36460, 37610, 37347, 38382, 35994, 36639, 36646, 36999, 37743, 37331, 35656, 36659, 37060, 35884, 37318, 38683, 38433, 38291, 38045, 38595]"
40,2,0,5.000096321105957,604652,324004,588556,273321,278301,129245,1471509,1,"[36439, 38408, 36518, 36317, 34803, 36597, 35164, 36198, 37590, 34863, 36321, 36111, 39261, 37286, 37661, 38135, 37184, 36638, 35912, 37730, 36442, 34933, 36049, 38420, 36078, 36527, 36302, 36730, 37677, 38102, 36538, 35837, 36773, 34630, 36342, 37683, 38020, 37308, 37619, 38363]"
64,0,0,5.000467300415039,607573,325321,591909,274711,279837,130285,1479319,1,"[23297, 23894, 23131, 22970, 22586, 23489, 22883, 22451, 22743, 23224, 23453, 23510, 23388, 23290, 22885, 23474, 23632, 22828, 22916, 23117, 22239, 23435, 22709, 23013, 23307, 23701, 22959, 22945, 23319, 23735, 23126, 23194, 23570, 23411, 23051, 23402, 23652, 23611, 23829, 24174, 22727, 22957, 23021, 24348, 22902, 22921, 23442, 22811, 22798, 22852, 22546, 23491, 22684, 22378, 22706, 22044, 21913, 23100, 22581, 23848, 22918, 23170, 23372, 22246]"
