threads,repetition,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,basic_correctness_test_success,operations_per_thread
1,0,0,5.0,1262296,629063,1147992,576729,9069131,4554217,11479419,1,[11479419]
1,1,0,5.0,1199994,599480,1091153,546975,8620786,4318954,10911933,1,[10911933]
1,2,0,5.0,1162248,581331,1056717,529031,8348252,4176037,10567217,1,[10567217]
2,0,0,5.0000081062316895,708672,365581,644947,313420,5091539,2470883,6445158,1,"[3124603, 3320555]"
2,1,0,5.000000953674316,677949,350326,615889,297861,4867808,2357345,6161646,1,"[2969124, 3192522]"
2,2,0,5.000000476837158,671904,347732,610394,295400,4826846,2331901,6109144,1,"[2943779, 3165365]"
4,0,0,5.000004768371582,476460,254224,432243,201701,3425019,1602999,4333722,1,"[310895, 1572710, 1355865, 1094252]"
4,1,0,5.000002861022949,481901,257153,438006,204831,3464695,1619324,4384602,1,"[1652299, 478945, 1019429, 1233929]"
4,2,0,5.000004291534424,389965,213405,354332,160738,2798749,1273031,3543046,1,"[149887, 1090681, 1142059, 1160419]"
8,0,0,5.000011920928955,467099,249720,423000,197248,3348998,1562117,4239097,1,"[1587689, 468585, 37524, 160997, 27593, 1282219, 148077, 526413]"
8,1,0,5.000014781951904,430867,232582,391332,180129,3091957,1427558,3914156,1,"[1436265, 668904, 11120, 355315, 8765, 528890, 886107, 18790]"
8,2,0,5.000017166137695,398047,217203,361121,164607,2854658,1302148,3613826,1,"[1219255, 62725, 8066, 1090798, 3269, 27067, 1160051, 42595]"
10,0,0,5.0000224113464355,410043,222854,372246,170196,2946782,1351945,3729071,1,"[1281210, 84719, 8962, 858126, 2255, 21274, 59119, 580462, 104941, 728003]"
10,1,0,5.000021934509277,426019,230767,386940,178351,3059404,1410278,3872363,1,"[1435066, 213553, 14893, 764321, 3967, 15792, 10925, 1408132, 1984, 3730]"
10,2,0,5.0000319480896,426139,230943,387541,178412,3065818,1408976,3879498,1,"[1433717, 201983, 11437, 765964, 4954, 17949, 33733, 1403121, 2249, 4391]"
20,0,0,5.000071048736572,523398,276621,474941,224229,3752249,1772201,4750588,1,"[2121655, 3203, 41467, 8648, 452, 13483, 9598, 41983, 875, 5477, 141189, 14941, 31799, 120749, 2107664, 29095, 25073, 355, 31967, 915]"
20,1,0,5.000060558319092,526693,278495,478598,226040,3778045,1786626,4783336,1,"[2292277, 2410, 36857, 8813, 564, 16085, 5387, 36856, 1032, 6901, 45498, 1273, 1868, 16424, 2286627, 350, 6913, 208, 16269, 724]"
20,2,0,5.000068187713623,526879,278208,477948,225771,3777051,1786871,4781878,1,"[2287883, 2399, 39238, 8556, 561, 18034, 5389, 39320, 1015, 6666, 45135, 1204, 1986, 16116, 2282277, 341, 6657, 226, 18236, 639]"
40,0,0,5.0001420974731445,498737,264923,453036,212554,3586604,1684289,4538377,1,"[156733, 12621, 6368, 13578, 1390, 20818, 13712, 2157, 9116, 91511, 69450, 992, 3487, 18371, 135490, 645, 294, 495, 790, 668, 4593, 664, 6849, 87163, 1894389, 736, 19965, 950, 609, 19739, 1054, 979, 1988, 4649, 4318, 803, 1915219, 1088, 804, 13132]"
40,1,0,5.0001630783081055,505333,268483,459048,216192,3627655,1706303,4592036,1,"[101007, 12294, 5886, 12917, 1159, 19086, 12911, 2541, 263, 105203, 16353, 654, 3550, 16738, 92943, 394, 232, 392, 883, 1145, 5057, 1148, 6036, 13409, 2056541, 846, 5729, 745, 701, 3045, 1383, 946, 1811, 4196, 4136, 857, 2064967, 1398, 739, 11795]"
40,2,0,5.000153541564941,503482,267264,456891,214921,3612558,1699604,4572931,1,"[234596, 12134, 128339, 13510, 2055, 105328, 12568, 2442, 2022, 241099, 14631, 270, 3585, 16082, 216828, 209, 147, 165, 492, 772, 4658, 769, 5792, 30125, 1678972, 766, 6282, 726, 278, 2680, 1647, 578, 1780, 4149, 4118, 784, 1808964, 1668, 684, 10237]"
64,0,0,5.000194549560547,401049,218367,364216,165698,2881766,1317069,3647031,1,"[12186, 1854, 535480, 9722, 403152, 255871, 7629, 13519, 4821, 3700, 1763, 583, 571, 3694, 9109, 4259, 3379, 2123, 429, 637, 2040, 248, 9579, 305649, 3170, 754, 6268, 109, 1256, 874, 1311, 6786, 1174, 4966, 4392, 342, 9397, 239, 106, 2199, 13884, 2455, 232517, 1038, 544338, 4500, 48130, 651, 1114, 370, 970, 580, 121541, 452, 251, 18899, 1416, 12023, 5425, 1910, 496963, 492683, 6328, 3253]"
64,1,0,5.000195026397705,403553,219386,365294,166888,2884563,1317958,3653410,1,"[466191, 1688, 136179, 11827, 5651, 256851, 409419, 348211, 414375, 33451, 8450, 377701, 1155, 1412, 8055, 4470, 3539, 2296, 446, 765, 1833, 92, 7236, 104281, 116651, 758, 114901, 175562, 520, 813, 1330, 7188, 1113, 5042, 3933, 3385, 6613, 237, 87, 2077, 308, 3060, 55066, 898, 134385, 2786, 9225, 638, 416, 289, 1114, 581, 8232, 7360, 74, 10837, 1010, 725, 4744, 1672, 351847, 3184, 6203, 2972]"
64,2,0,5.000213146209717,406030,220973,368901,168609,2911406,1329871,3686337,1,"[430365, 1649, 5263, 11679, 3838, 259537, 543150, 183944, 554567, 14644, 280, 510154, 79, 317, 4138, 8316, 277055, 2434, 323, 1014, 1833, 121, 7517, 3595, 12914, 789, 2090, 232455, 640, 895, 1025, 8171, 1161, 7663, 4130, 6551, 5459, 206, 99, 2237, 308, 3051, 682, 641, 764, 3036, 9554, 654, 500, 441, 806, 793, 7198, 6776, 89, 6044, 1122, 584, 5064, 1284, 511596, 3332, 6418, 3303]"
