threads,repetition,prefill_count,time,total_inserts,successful_inserts,total_deletes,successful_deletes,total_contains,successful_contains,total_operations,basic_correctness_test_success,operations_per_thread
1,0,0,1.0,893953,466407,870435,415684,413396,197380,2177784,1,[2177784]
1,1,0,1.000000238418579,898055,468436,874483,417684,415327,198390,2187865,1,[2187865]
1,2,0,1.0000001192092896,903926,471273,880277,420604,418011,199761,2202214,1,[2202214]
2,0,0,1.0000009536743164,579945,311681,564393,261033,267378,123965,1411716,1,"[704928, 706788]"
2,1,0,1.000002384185791,580836,311900,565480,261442,267745,123868,1414061,1,"[706211, 707850]"
2,2,0,1.0000014305114746,581611,312354,566436,261880,267886,124155,1415933,1,"[706906, 709027]"
4,0,0,1.0000054836273193,344925,195404,334227,144964,158486,68790,837638,1,"[261272, 131652, 272066, 172648]"
4,1,0,1.000005841255188,234610,141084,227462,90805,107648,43161,569720,1,"[182207, 165869, 181177, 40467]"
4,2,0,1.0000070333480835,280913,164459,273769,113876,129334,53981,684016,1,"[206977, 204545, 237712, 34782]"
8,0,0,1.0000195503234863,260829,153866,253475,103431,119802,49276,634106,1,"[16085, 32412, 200280, 2758, 55089, 81381, 175219, 70882]"
8,1,0,1.0000170469284058,244856,146375,238069,96233,112728,45709,595653,1,"[28556, 82942, 215324, 3711, 7816, 15920, 182554, 58830]"
8,2,0,1.0000160932540894,249626,148742,242812,98365,115082,46709,607520,1,"[65312, 96596, 220443, 4152, 11611, 2768, 186840, 19798]"
10,0,0,1.0000263452529907,276936,162343,269397,111721,128063,52954,674396,1,"[41552, 10564, 197137, 2789, 55307, 2353, 197896, 142475, 9690, 14633]"
10,1,0,1.0000182390213013,248901,148294,241587,98008,114003,46394,604491,1,"[15207, 11785, 222257, 1575, 21360, 1326, 186110, 115710, 17770, 11391]"
10,2,0,1.0000256299972534,248245,147884,241145,97729,114421,46344,603811,1,"[14434, 12713, 222766, 1495, 20836, 1381, 184644, 114717, 18939, 11886]"
20,0,0,1.0000832080841064,362575,204255,352501,153674,166330,72902,881406,1,"[1268, 175947, 175908, 704, 566, 1056, 250331, 9223, 99, 84, 9093, 3052, 1247, 1008, 1162, 1563, 943, 89, 598, 247465]"
20,1,0,1.0000730752944946,365337,205593,355124,155001,167902,73161,888363,1,"[588, 334787, 334656, 1734, 1010, 649, 90411, 16575, 391, 145, 16303, 234, 2992, 97, 153, 3042, 124, 270, 458, 83744]"
20,2,0,1.0000877380371094,359179,202339,349566,151730,165147,72193,873892,1,"[87082, 143418, 229361, 2861, 3003, 902, 192141, 8526, 112427, 75796, 8474, 179, 3238, 87, 178, 2742, 913, 183, 1793, 588]"
40,0,0,1.0001834630966187,307182,176654,298616,126211,140891,60332,746689,1,"[107, 2267, 834, 2246, 2091, 970, 720, 2998, 168, 591, 2123, 143, 165, 223, 92, 2008, 2284, 63, 63, 239, 125103, 63, 15105, 31386, 2044, 402, 266, 118144, 139, 92352, 111771, 483, 2169, 132551, 226, 3219, 683, 88970, 1117, 101]"
40,1,0,1.000169038772583,326400,186300,317270,135729,149972,64470,793642,1,"[134219, 2872, 807, 1412, 1682, 1556, 962, 1763, 181, 696, 5081, 6057, 178, 182, 184, 185, 5184, 252, 118, 186, 7106, 75, 1633, 639, 2550, 184, 467, 129376, 232, 111692, 124305, 240, 482, 140892, 180, 469, 615, 107355, 1274, 119]"
40,2,0,1.0001739263534546,336117,191152,327185,140441,154795,67029,818097,1,"[133368, 2648, 2438, 1603, 1347, 1506, 867, 1546, 256, 2421, 4915, 91, 250, 167, 196, 247, 4979, 77, 85, 255, 147, 25, 1414, 597, 2354, 64, 616, 141702, 145, 116859, 135739, 186, 324, 137518, 166, 325, 468, 118300, 1802, 84]"
64,0,0,1.0002481937408447,238321,143076,232013,92869,109503,44105,579837,1,"[1573, 1220, 539, 390, 2412, 2463, 33257, 1010, 1547, 388, 387, 658, 543, 1428, 373, 575, 1143, 270, 932, 198, 46, 75, 211, 551, 327, 712, 500, 87265, 264, 33898, 47529, 702, 983, 642, 319, 1090, 575, 16403, 326, 783, 40409, 1406, 44277, 1481, 51535, 1092, 373, 1124, 403, 1179, 275, 225, 32545, 249, 987, 1276, 181, 889, 50354, 40492, 1600, 15145, 813, 47020]"
64,1,0,1.000239372253418,240629,144106,233858,94130,111178,44840,585665,1,"[68006, 1859, 907, 508, 2367, 1917, 68205, 268, 1089, 438, 242, 981, 162, 1585, 641, 614, 748, 676, 1272, 148, 136, 36, 299, 764, 436, 1899, 460, 94954, 508, 305, 30514, 435, 1290, 493, 83, 247, 759, 232, 193, 574, 1330, 321, 90533, 992, 77689, 1516, 243, 123, 269, 353, 74, 911, 1195, 55, 773, 1932, 215, 996, 96, 83441, 208, 31848, 846, 2456]"
64,2,0,1.0002593994140625,243645,145881,236893,95559,111995,45068,592533,1,"[68832, 1440, 638, 344, 1772, 2193, 69591, 310, 823, 300, 249, 763, 173, 1542, 285, 1598, 682, 1118, 1257, 127, 121, 32, 259, 202, 339, 2227, 592, 96649, 233, 128, 30521, 471, 989, 256, 33, 336, 535, 157, 761, 1482, 1146, 401, 93349, 807, 80840, 1736, 199, 27, 290, 228, 73, 1154, 759, 53, 125, 1475, 208, 879, 499, 83999, 211, 30864, 1028, 1823]"
